Lap Distance,Cornering,Inclines,Camber,Grip,Wind (Avg. Speed),Temperature,Humidity,Air Density,Air Pressure,Wind (Gusts),Altitude,Roughness,Width,Rear Wing,Engine,Front Wing,Brake Balance,Differential,Suspension,Lap Time
3.3,77,36,33,48,25,33,34,5,66,68,98,1,47,415,1,398,28,119,128,62.609
3.2,84,86,16,32,83,18,73,62,22,39,15,95,62,500,164,376,421,170,143,61.626
3.1,52,16,19,5,98,3,80,38,37,9,29,39,12,437,1,187,113,1,1,59.147
3.2,3,55,53,54,38,38,21,59,72,14,19,38,12,7,89,81,108,1,163,60.824
5,63,90,65,27,32,22,12,81,94,45,91,87,46,225,1,209,125,176,188,95.959
4.8,28,55,86,48,76,31,94,85,31,53,74,19,19,465,225,211,1,1,80,92.217
3.6,8,50,98,81,87,11,45,43,57,50,96,69,79,379,1,1,196,80,379,69.112
3.6,8,91,24,87,75,0,37,9,62,49,43,46,75,461,1,155,103,140,36,69.541
5,63,77,66,90,46,23,43,42,24,93,31,78,71,500,1,500,346,465,198,96.043
4.9,8,66,96,38,3,33,99,88,38,37,33,67,77,81,317,172,180,232,279,94.858
4.9,26,52,6,16,76,8,85,85,28,48,98,65,84,500,1,228,120,81,1,93.586
3.5,3,83,14,98,7,5,25,9,5,77,76,30,19,290,54,364,1,108,107,67.249
2.9,65,30,23,48,83,25,52,18,23,97,6,79,47,500,13,440,315,80,144,54.512
3.4,43,3,10,85,82,24,93,9,84,51,92,13,10,293,1,86,1,111,333,65.521
3.4,35,80,16,1,59,26,67,52,73,29,13,47,53,346,136,102,197,1,92,65.272
2.9,59,79,71,65,12,34,32,74,10,34,44,37,99,481,31,331,486,407,196,55.393
5,33,21,85,98,5,6,99,14,1,10,87,31,59,432,47,500,169,101,343,95.459
3.6,22,83,78,1,92,4,88,49,98,66,19,96,97,492,1,143,385,215,1,69.424
4,88,42,64,1,20,4,54,91,92,85,46,59,73,189,1,102,315,1,154,75.695
3.7,35,4,14,20,16,22,48,51,95,73,83,78,65,1,1,4,340,1,104,70.321
3,84,48,9,24,62,30,45,4,27,99,74,62,62,500,149,463,223,1,1,57.912
3.1,35,29,20,73,76,39,22,91,22,58,46,8,52,89,215,315,188,156,141,60.005
4.3,58,7,44,13,12,39,7,36,54,67,86,78,33,32,28,42,109,46,97,82.596
5.1,58,50,94,93,69,7,0,99,15,26,55,47,90,191,1,148,206,387,267,96.31
4,25,48,71,47,55,27,61,57,79,20,81,9,73,221,126,140,1,129,34,77.352
3.7,7,35,31,3,52,6,2,31,80,99,78,46,89,1,1,189,165,50,33,71.389
3,29,95,48,0,86,40,28,8,73,10,67,20,84,374,114,249,213,44,64,57.736
4.4,59,27,92,46,75,29,74,20,25,53,47,31,69,412,52,326,89,115,171,84.07
4.6,83,87,61,13,67,22,54,69,99,26,43,36,99,149,17,1,500,440,70,88.111
3.6,61,1,60,28,36,22,51,60,58,91,11,44,42,250,57,64,184,1,90,69.135
5,89,4,82,84,90,2,63,82,55,66,79,0,49,77,1,380,222,127,75,96.997
4.5,97,25,3,43,15,22,86,38,58,46,84,33,37,366,108,481,144,121,38,87.277
3.2,34,13,85,67,46,13,37,78,5,76,28,36,28,278,1,328,160,32,326,61.167
3.3,14,4,12,97,78,3,95,50,68,72,69,85,52,191,26,30,178,137,434,63.624
4.5,21,84,13,75,69,32,3,89,50,84,44,76,60,337,68,85,256,140,264,87.083
4.3,73,99,31,28,53,38,29,89,84,59,54,94,15,494,215,185,118,332,89,82.093
4.1,100,99,44,69,64,7,38,91,11,29,21,52,5,500,1,412,211,500,1,77.832
4,54,25,14,21,48,21,66,50,93,77,7,90,67,107,186,143,248,1,85,77.455
4.7,1,46,53,3,69,25,32,91,95,93,47,80,96,36,1,62,123,29,64,89.185
3.6,52,66,71,20,95,8,79,61,50,71,91,11,19,500,130,483,122,1,1,69.693
4,84,22,5,87,62,26,88,3,66,44,68,98,96,405,132,344,500,251,194,76.983
3.6,19,98,35,19,76,20,9,29,22,96,59,85,66,500,130,293,145,182,1,69.211
4.4,50,9,31,37,78,6,22,14,31,42,99,19,80,365,1,184,201,1,301,83.997
3.3,41,35,10,41,75,25,89,94,81,62,37,87,59,308,132,69,313,106,7,63.407
3.2,50,81,96,95,50,11,27,28,34,8,61,14,33,302,143,445,17,39,326,62.871
4.3,13,40,20,29,56,24,73,31,63,7,98,17,60,325,75,156,124,1,147,82.063
4.2,9,92,48,72,30,9,42,20,100,42,52,5,93,226,38,86,129,119,180,80.542
4.1,52,37,20,61,7,8,14,49,41,44,72,49,53,173,70,19,260,1,20,79.544
5,97,99,66,46,34,8,45,76,13,73,15,18,9,500,1,360,51,232,34,95.584
4.8,4,58,6,29,8,21,8,31,27,83,12,8,52,224,1,122,66,145,109,91.754
4.9,29,70,71,86,50,9,44,98,52,50,54,19,89,13,186,174,94,356,287,94.248
3.6,16,49,95,23,10,20,51,91,36,91,17,27,45,197,1,1,1,99,150,69.067
4.7,99,33,38,1,43,1,65,97,33,76,80,51,65,345,55,325,265,185,1,89.803
4.5,7,6,12,5,19,7,81,86,46,23,35,13,62,1,12,1,78,36,259,85.569
4.6,52,40,24,13,69,19,41,33,65,77,55,24,98,465,140,315,429,190,1,89.572
3.1,94,48,73,36,37,19,88,52,43,43,74,41,66,333,1,432,212,137,132,59.902
4,53,85,80,77,48,26,68,77,52,59,49,44,43,445,186,259,88,384,92,76.144
3.4,81,14,76,9,64,17,74,27,36,15,91,81,2,355,100,370,170,1,3,65.386
4.1,74,46,4,70,40,21,65,94,84,41,16,75,69,132,88,42,267,421,169,78.9
3.9,2,15,62,63,94,23,36,57,38,33,9,9,5,186,1,5,46,1,67,74.574
4.3,16,85,3,9,36,28,42,45,32,98,41,45,28,500,1,420,1,119,128,83.208
3.2,75,77,92,6,81,10,11,43,45,85,77,43,75,500,1,492,122,140,1,61.339
4.6,2,18,81,36,24,25,98,60,56,42,50,78,91,103,211,1,247,74,185,88.847
4.9,19,8,66,14,92,30,87,46,51,74,48,98,18,324,64,193,82,38,291,93.893
4.3,66,81,45,70,17,31,98,80,53,16,2,23,92,483,324,292,340,415,103,82.514
3.8,53,1,16,2,36,32,14,52,26,16,56,26,57,196,1,59,160,1,93,71.869
4,54,95,53,20,38,20,32,84,59,69,10,93,84,297,202,237,224,439,44,77.69
3.7,25,90,61,38,9,40,92,11,78,22,71,40,42,476,325,362,124,325,1,72.34
3.4,3,42,96,18,64,5,99,31,32,35,25,92,67,364,1,263,123,1,332,65.23
3.1,62,21,63,28,27,13,54,38,79,34,65,48,27,87,1,261,100,1,57,59.487
3.5,38,69,40,29,57,13,60,70,31,12,21,36,92,288,133,197,156,176,81,66.954
3.5,44,1,65,31,18,23,69,59,39,63,85,39,21,3,68,212,50,1,132,67.218
3.6,39,10,1,76,32,39,67,32,57,8,97,66,23,369,96,21,130,1,162,69.028
3.3,16,40,19,78,22,25,95,46,43,37,100,65,46,244,10,229,113,180,233,63.307
3,89,96,14,44,74,9,27,71,5,95,8,4,20,500,1,385,39,198,1,56.895
4.3,22,81,74,30,17,13,21,48,90,66,79,93,45,140,1,61,155,1,173,81.048
4.8,48,67,6,54,69,16,77,41,5,52,12,68,98,500,64,321,381,263,175,91.352
3.2,39,73,50,59,50,15,19,54,66,40,100,36,93,160,1,74,127,160,245,61.909
3.1,90,18,38,76,91,2,93,68,21,87,36,84,17,500,129,390,340,67,191,59.221
3.5,96,89,90,94,22,38,71,99,57,65,61,34,29,419,346,305,148,370,1,67.908
3.3,34,20,56,42,15,2,55,15,13,52,22,51,16,288,24,413,125,17,14,63.988
3.1,45,30,76,79,94,1,1,32,69,7,30,47,71,208,1,223,224,1,81,59.608
2.9,71,80,12,79,14,32,4,62,73,48,97,50,80,123,1,177,425,291,71,55.617
5,89,53,14,8,65,35,39,76,27,21,94,17,83,335,10,414,429,417,16,95.997
4,42,83,68,77,54,15,98,11,81,27,82,90,85,500,192,263,210,336,339,77.158
3.8,30,89,77,33,9,38,57,60,35,34,25,76,40,262,112,299,1,264,108,73.472
3.1,28,60,97,98,25,10,8,54,90,44,87,38,9,201,61,161,152,1,356,60.228
3.3,75,66,56,38,15,13,34,60,71,90,97,33,86,246,1,150,342,337,55,63.056
4.8,13,70,62,66,56,33,93,68,28,67,87,60,18,313,144,157,67,127,116,91.447
3.1,42,80,8,22,85,4,56,89,33,87,98,30,90,500,27,375,313,226,98,59.521
5,32,60,58,58,32,24,20,24,86,67,14,31,31,87,1,186,71,1,62,95.603
4.6,68,71,80,96,41,38,77,24,76,33,9,28,95,473,247,166,354,500,324,88.851
4.6,21,24,16,15,93,10,18,71,33,82,35,56,47,286,143,117,109,152,197,88.989
3.8,62,86,11,7,93,10,47,47,55,35,78,84,22,479,1,487,195,1,178,72.991
3.8,59,85,19,12,38,25,33,80,69,79,41,72,45,202,1,100,251,82,28,72.929
3.6,74,6,26,43,100,21,73,39,3,84,99,41,92,500,15,352,466,87,311,69.432
3.2,76,96,53,56,16,17,42,27,14,60,28,27,59,500,33,416,194,374,206,61.052
4.5,74,27,5,20,100,40,42,7,11,47,54,43,62,433,85,372,316,106,1,86.554
4.6,28,96,23,27,82,0,98,66,83,17,92,57,81,422,98,322,249,165,19,88.619
4.7,83,68,60,51,79,15,23,36,45,13,15,99,97,479,110,477,415,382,150,89.986
4.6,43,73,28,19,66,6,3,23,99,100,9,69,53,158,142,31,253,55,22,89.325
4.8,97,89,34,43,92,38,92,11,74,7,92,27,90,478,1,500,500,500,47,90.653
3.3,25,36,67,73,50,14,19,26,63,21,66,24,33,288,1,67,99,118,40,63.829
4.9,62,60,40,31,29,35,54,60,32,58,75,10,30,237,17,342,110,1,26,93.67
5.1,8,65,19,17,59,10,3,5,91,49,38,28,63,261,71,171,163,1,20,98.052
4.1,62,95,17,37,1,1,79,5,6,67,97,95,5,396,1,500,1,92,117,78.468
4.3,34,82,48,63,2,5,69,86,18,54,83,43,79,156,1,212,171,96,89,82.068
5,21,41,98,26,15,14,59,68,29,94,84,56,5,311,1,179,1,1,18,94.897
4.7,27,13,14,34,82,2,65,41,100,94,24,15,4,72,102,30,1,1,192,89.091
4,67,70,69,20,76,5,91,7,95,92,96,99,38,500,4,409,359,38,8,76.306
4.2,75,5,69,6,47,25,45,20,38,76,29,83,46,408,34,332,158,85,69,80.395
3,94,18,49,1,82,4,67,87,40,47,79,90,56,416,1,235,297,158,10,57.163
5.1,56,87,24,46,1,38,8,17,36,52,80,2,98,351,90,253,382,500,142,98.599
4.6,23,35,52,69,28,13,7,72,48,84,15,87,43,291,1,200,103,1,181,88.209
5.1,63,60,35,43,28,26,100,11,99,23,28,22,51,259,400,264,226,72,58,99.097
5,18,67,36,52,2,22,27,57,50,35,55,55,96,220,1,106,292,151,301,95.858
4.6,3,42,82,22,97,36,55,30,93,8,92,4,44,179,91,76,87,49,127,87.851
3.8,43,51,44,47,26,25,75,62,38,54,44,21,80,241,151,210,247,40,116,73.158
4.2,40,25,68,38,41,31,20,77,99,13,64,37,33,1,51,1,59,1,9,79.827
3.9,59,2,51,43,64,8,71,44,72,33,66,96,40,253,71,39,109,1,160,74.718
4.2,48,98,44,10,86,8,43,65,58,100,92,53,40,382,127,284,183,41,63,81.583
4.6,78,14,63,59,46,3,45,90,67,19,86,59,73,186,1,83,343,50,249,87.268
5.1,100,55,84,68,28,26,13,88,9,52,42,63,31,500,1,500,288,500,229,98.121
3.4,12,66,79,85,22,9,5,84,62,17,77,30,53,142,100,165,1,1,203,65.53
4.6,53,75,85,47,28,30,53,6,96,76,39,35,99,363,1,224,472,404,56,87.757
4.5,56,68,64,97,78,16,44,27,60,6,42,43,37,424,1,279,45,293,292,86.114
4.3,83,74,13,84,79,7,18,34,91,25,6,92,8,500,1,354,172,16,1,82.872
3.6,83,60,15,91,67,4,46,5,95,45,50,49,85,408,149,401,177,368,69,70.297
4.8,63,87,22,52,12,27,74,7,19,16,52,89,7,441,115,500,227,89,132,92.444
3.9,40,17,23,31,91,31,0,80,33,41,87,27,21,289,1,154,1,1,251,74.8
2.9,26,25,40,31,88,2,27,25,2,64,13,99,84,388,1,475,215,1,216,55.382
3.4,81,8,100,12,79,4,61,4,15,20,24,35,66,410,128,500,184,7,246,65.445
4.8,80,92,50,81,87,28,98,88,38,67,28,22,80,429,500,479,334,374,32,92.254
3,66,1,50,93,86,5,85,90,92,56,1,84,65,74,78,1,308,112,272,57.334
4.4,57,39,95,18,15,6,73,91,32,52,18,59,89,322,56,300,277,75,49,84.969
5.1,30,17,30,70,38,5,15,19,53,4,82,78,13,263,1,141,43,64,217,96.009
3,69,51,47,59,38,23,31,61,26,93,25,3,73,293,1,213,172,303,211,57.641
3,46,90,33,39,54,35,21,8,17,98,85,70,53,500,1,500,76,97,1,57.195
3.8,66,16,16,15,22,16,23,42,25,55,59,87,88,361,1,291,285,1,104,72.309
4.1,35,11,12,64,57,27,79,6,93,14,91,21,69,266,62,235,237,181,65,80.063
4.9,66,26,39,96,10,5,88,57,76,33,79,5,21,75,1,152,177,197,82,94.772
4,7,25,73,16,71,32,34,90,95,55,55,83,94,92,153,1,155,1,361,77.02
3.4,1,67,93,66,69,40,44,95,90,75,30,30,98,1,500,47,58,315,313,64.717
3,9,51,64,19,70,25,48,18,28,98,31,16,98,320,1,188,240,10,214,57.701
5.1,96,7,36,96,20,11,74,14,73,76,89,67,8,280,1,397,280,1,296,98.647
4.6,14,20,46,77,86,24,30,75,74,32,1,20,39,1,251,1,1,55,163,87.829
4.3,83,3,71,46,46,1,52,35,84,75,90,71,14,232,2,260,1,1,49,82.521
5,91,59,61,56,55,22,72,6,61,49,39,77,41,484,71,435,172,259,217,95.959
4.4,84,5,73,89,85,10,50,77,81,48,82,26,47,276,1,154,317,119,98,84.55
4.7,74,73,33,69,12,8,9,50,79,47,6,92,83,434,163,175,266,309,8,91.589
4.1,41,41,29,96,56,5,24,41,26,51,19,83,81,500,1,292,141,132,271,78.321
3.9,58,9,72,32,22,17,12,37,35,51,78,82,38,152,1,36,68,133,163,75.417
4.6,21,79,81,13,89,23,40,39,47,20,34,87,1,458,145,301,1,35,75,87.556
5.1,49,71,97,68,2,36,96,7,53,74,69,90,79,500,1,221,320,154,248,98.184
3.5,21,24,73,88,83,28,98,7,17,83,92,5,12,380,1,500,113,117,167,67.383
4.8,12,6,10,63,70,35,43,100,53,61,74,7,89,7,22,1,174,30,150,91.582
3.3,32,100,1,70,58,34,38,17,75,95,59,32,97,464,187,424,376,316,2,63.176
4,33,78,67,2,54,32,89,17,4,50,63,72,64,390,1,419,218,1,105,75.973
4.9,88,38,98,94,15,33,59,13,12,49,58,63,46,487,87,455,231,417,373,94.235
4.4,87,71,91,90,85,12,57,40,80,17,71,7,30,337,157,334,43,248,38,84.693
3.5,66,91,90,43,15,24,31,22,76,72,96,42,27,361,142,251,109,74,1,67.319
3,64,22,5,39,8,10,77,98,31,87,34,43,89,6,40,126,253,304,45,57.379
3.2,58,56,42,54,75,25,83,52,60,3,56,90,28,492,1,280,112,202,252,61.755
4.7,18,97,57,97,98,22,13,40,44,78,10,76,51,478,410,257,78,133,92,90.725
3.3,15,87,51,5,62,30,30,93,32,43,65,49,97,283,1,252,334,206,215,63.581
3.6,39,55,58,25,30,24,37,54,39,99,71,71,60,249,1,244,92,180,128,68.814
4.7,93,69,39,17,84,18,58,49,22,85,95,58,9,470,1,391,141,1,1,89.364
3.4,19,80,44,55,49,6,24,4,83,1,81,98,78,447,123,144,262,15,121,64.707
5,84,36,4,47,97,1,42,19,11,77,35,52,32,438,124,500,213,141,27,96.362
3.6,50,33,52,32,21,32,22,88,28,27,48,44,14,118,1,1,33,1,68,68.567
2.9,4,1,66,9,51,24,80,76,58,15,67,90,36,62,129,1,1,1,213,55.152
5.1,83,71,37,0,57,36,67,2,21,23,84,74,72,468,28,500,320,26,56,96.793
3.3,96,34,40,51,91,25,80,29,61,76,76,83,4,370,51,362,57,119,1,64.007
3.3,40,93,32,76,1,28,75,44,83,70,21,82,16,373,346,196,40,49,107,63.019
3.3,9,13,20,17,69,28,99,63,79,11,91,6,93,205,141,1,129,1,216,63.31
3.8,26,64,48,1,86,26,31,81,65,66,21,69,49,180,1,78,1,128,67,73.109
4.2,92,86,80,62,26,18,24,92,49,98,18,36,87,264,126,477,358,379,165,80.872
3.9,5,16,68,29,12,38,26,11,70,42,6,61,86,116,1,162,126,42,339,74.29
5,39,45,83,42,3,7,24,80,95,67,86,22,18,146,28,58,1,23,203,95.366
4.6,92,13,84,65,58,6,40,89,20,96,6,70,5,256,1,271,5,1,266,88.772
4,9,9,72,65,68,7,1,45,74,51,89,19,94,1,1,173,80,87,405,76.829
4.8,33,52,46,90,12,36,52,53,99,99,34,25,72,1,314,1,74,111,164,92.74
5,42,39,91,35,100,23,76,38,60,21,59,10,42,500,1,397,18,1,224,95.052
3.2,69,27,93,65,22,19,84,52,65,28,10,50,84,307,124,34,260,76,104,62.045
3.3,81,74,53,43,3,2,15,67,13,21,21,78,84,257,44,449,457,175,180,64.259
3.3,43,92,43,10,39,20,15,98,26,26,48,14,25,171,1,234,1,72,1,62.378
3,38,43,44,96,86,8,26,59,15,38,29,81,92,314,1,334,243,122,352,57.903
4.1,46,85,91,70,61,39,61,58,47,79,83,90,26,437,53,423,46,95,33,80.544
4.1,68,20,26,98,8,4,7,16,26,37,17,62,49,465,95,138,272,175,317,80.217
3.1,96,53,4,46,16,2,58,57,98,62,30,82,80,394,1,70,363,191,156,59.309
2.9,58,78,26,32,44,25,100,80,22,31,90,31,49,380,143,281,148,280,131,55.422
3.2,3,10,82,91,66,34,39,57,40,35,95,94,45,203,3,1,73,37,415,60.515
4.9,37,46,80,47,20,20,18,82,14,33,63,85,55,205,69,196,194,216,248,94.087
4.2,74,76,75,4,32,35,20,79,25,5,51,9,8,176,1,411,1,140,1,80.884
4.5,56,2,77,46,45,31,57,12,8,59,43,11,38,423,1,478,91,150,315,86.662
3.3,59,27,21,83,84,11,25,58,46,80,39,79,51,389,1,226,295,46,184,62.272
3.4,32,25,43,0,34,32,90,84,82,18,34,23,48,15,60,125,223,136,98,65.983
3.2,93,87,0,13,48,23,81,48,80,17,17,24,30,495,113,446,54,303,1,61.785
4.5,29,85,22,78,87,2,43,96,56,92,7,44,4,437,274,262,1,94,137,86.325
3.1,2,89,16,22,83,29,70,82,12,71,51,58,100,322,64,101,228,238,141,59.37
4.6,70,55,62,25,7,25,65,54,27,65,42,18,86,442,41,299,414,281,200,88.571
3.9,6,11,36,98,6,18,3,81,37,11,94,41,72,1,1,1,1,1,447,73.898
5,18,18,44,40,86,38,51,14,11,1,41,60,13,383,1,167,1,40,312,95.933
4.6,79,40,15,17,3,29,70,44,71,13,98,88,43,308,135,70,210,1,1,88.943
4.8,47,60,22,85,83,16,53,60,99,6,52,36,22,143,167,1,161,226,239,92.683
3.6,47,47,40,53,9,9,56,18,61,45,91,42,10,444,1,127,1,1,209,69.015
3.1,90,75,70,77,66,8,99,1,61,9,92,23,22,500,47,339,21,42,8,60.272
4.7,22,28,26,17,99,22,61,56,52,28,96,10,44,420,139,352,1,1,82,90.44
4.9,2,93,12,22,96,8,80,51,7,95,54,23,95,345,105,243,25,94,148,94.91
3.9,53,7,96,15,36,5,94,15,29,51,17,88,45,467,1,338,74,1,163,74.1
3,66,78,98,48,4,5,31,74,42,75,71,66,50,154,138,347,121,67,182,58.592
5.1,53,96,65,75,86,1,21,46,70,15,44,59,58,500,35,203,1,116,135,97.737
3.3,95,63,79,73,74,37,62,7,18,55,5,45,44,500,1,367,336,247,121,62.754
4.9,26,13,95,42,80,1,99,97,95,65,32,55,6,106,221,1,1,1,304,93.153
4.6,24,87,48,89,37,5,47,59,75,27,56,53,87,180,1,1,199,117,238,89.139
2.9,49,58,82,86,21,24,38,12,80,73,98,90,56,344,1,215,329,246,132,55.48
4,86,16,32,98,4,14,15,87,50,80,66,88,76,238,116,115,471,444,349,77.23
3.3,33,15,70,70,15,3,15,46,31,4,26,45,32,209,1,109,11,1,356,62.742
4.2,86,85,42,66,1,16,86,82,92,18,6,85,39,384,221,143,162,227,194,82.163
3,53,15,81,50,7,31,1,15,13,24,41,35,48,299,32,234,279,1,253,57.252
3.8,10,6,99,32,10,32,59,15,34,54,99,8,31,235,1,228,68,58,288,73.199
4,73,3,77,41,86,33,0,34,44,33,68,61,64,103,80,259,290,76,275,76.803
3.6,42,48,50,74,23,22,15,68,43,34,77,5,83,185,60,132,285,215,96,68.997
3.9,86,50,96,49,96,19,91,86,97,6,27,30,94,358,233,236,500,374,158,74.417
3.8,1,8,37,10,28,6,6,34,9,52,10,48,60,15,1,1,31,79,241,71.997
3.6,99,87,43,92,22,29,9,37,66,3,79,72,72,438,48,272,500,500,11,68.83
3.9,88,95,41,19,21,27,95,25,67,23,3,62,76,500,56,500,331,301,1,74.563
4,31,46,6,97,97,15,79,55,74,20,39,38,58,346,213,138,118,320,77,76.877
3.7,39,71,67,7,55,13,35,32,31,40,21,1,67,325,1,448,65,156,132,71.011
3.3,12,6,78,10,69,14,11,29,38,16,72,70,22,204,1,1,1,1,96,62.757
3.6,21,97,9,10,84,19,18,42,53,9,25,34,10,290,75,276,157,155,1,69.923
3,16,92,83,20,58,35,43,69,20,86,51,66,80,473,1,272,203,296,257,57.674
4.5,30,49,94,74,95,25,45,85,89,39,94,6,26,272,144,1,102,128,106,87.145
3.2,48,64,99,3,25,5,21,32,50,37,60,35,24,197,1,222,109,1,1,60.868
3.1,97,70,80,5,24,13,54,100,83,91,61,58,9,230,1,220,242,158,104,58.774
3.2,97,44,45,74,94,30,77,86,35,17,74,76,59,500,134,500,484,344,12,62.032
4.8,43,15,9,47,7,30,19,20,26,78,50,95,90,415,1,223,373,1,242,91.129
4,5,42,64,0,95,21,99,3,9,15,33,88,99,448,132,428,127,48,187,77.349
3.6,3,70,20,63,19,0,55,97,81,17,22,47,46,142,27,1,1,44,86,68.789
3.6,35,35,22,58,77,31,25,30,71,12,29,70,68,431,69,71,318,145,210,69.486
3.6,38,76,41,71,45,3,96,93,84,63,33,83,63,143,254,72,166,319,110,69.131
4.1,81,36,43,34,99,10,68,22,30,41,50,35,21,480,1,500,52,1,1,77.928
4.3,47,37,40,19,43,21,59,87,61,11,8,12,34,1,162,123,1,1,154,82.916
4.9,22,17,30,85,36,20,77,14,52,1,40,43,56,223,1,190,131,115,263,93.245
4.7,44,45,49,55,59,16,97,81,45,16,55,62,74,413,250,291,210,93,307,91.142
3.1,97,90,71,28,11,17,66,54,66,24,6,92,66,441,166,326,474,500,52,59.275
3.6,42,78,37,90,99,14,86,65,11,5,17,71,64,411,302,274,218,421,100,70.513
4,29,34,7,11,2,22,82,7,46,8,55,95,25,469,9,218,187,102,172,76.772
4.5,8,57,20,57,94,18,11,79,34,84,29,22,90,174,158,111,1,65,248,86.705
3.5,65,97,20,15,70,8,7,34,80,17,78,20,47,500,141,279,61,1,1,67.545
3,58,66,88,87,99,1,50,88,44,60,77,37,57,339,12,246,43,309,236,57.941
4,70,90,21,62,19,9,78,47,67,27,39,72,25,288,64,317,203,84,1,77.017
4.9,21,96,28,49,65,2,43,44,81,58,50,58,76,257,1,271,70,1,126,94.154
4.5,13,12,81,2,53,21,26,21,77,65,49,24,99,124,1,41,292,3,287,85.423
3.6,16,50,40,94,65,13,72,17,6,10,52,97,42,429,2,279,86,72,252,68.09
3.3,28,38,54,97,0,22,83,9,1,71,88,31,65,500,109,330,247,91,368,63.974
3,19,44,64,7,15,18,41,30,42,56,3,14,72,306,1,161,1,141,126,57.42
4.5,35,57,79,25,92,25,58,41,86,58,2,2,58,294,242,78,102,40,4,86.751
3,61,5,9,96,72,39,96,21,80,98,12,22,38,500,500,267,273,39,283,58.35
5.1,3,58,54,87,11,12,62,87,35,52,96,78,40,213,1,9,1,1,129,97.581
4.2,31,69,49,79,31,31,94,10,97,39,87,54,78,406,266,156,183,334,46,81.118
4.8,6,83,80,87,5,10,39,72,43,83,36,68,3,274,6,41,126,116,121,93.531
4.1,28,62,1,49,85,37,38,34,49,99,32,22,15,373,108,441,1,5,1,78.325
4.3,3,58,90,12,83,10,33,28,72,76,81,14,18,272,1,1,1,32,257,82.295
4.8,29,57,6,5,6,25,71,20,87,16,65,15,56,295,1,1,105,97,151,92.608
3.2,23,50,79,12,83,9,88,99,3,26,94,81,96,289,14,190,241,47,47,61.597
3.8,56,67,22,82,71,25,83,92,18,62,93,86,62,316,1,264,341,375,40,73.506
4.1,65,90,4,74,55,24,60,78,13,15,25,89,29,500,185,389,211,361,97,77.738
4.2,91,100,29,52,43,38,20,61,94,83,62,55,91,410,263,326,451,480,90,79.417
4.6,28,13,7,87,78,12,30,32,65,32,21,5,88,213,2,143,1,27,166,87.363
4.1,67,22,58,39,77,31,66,12,73,90,57,50,92,411,49,184,432,216,117,78.955
4.4,57,14,56,65,73,10,84,30,53,79,40,44,69,305,61,223,191,188,203,84.377
5.1,42,17,21,76,74,3,77,90,42,86,63,29,27,287,157,70,134,151,316,99.846
3.4,39,92,13,3,88,24,84,13,26,8,15,74,60,457,1,498,234,1,98,64.754
4.8,98,67,99,74,73,36,76,35,50,88,45,83,90,469,177,359,500,415,174,91.68
3.5,86,64,98,48,19,22,88,93,17,88,73,58,24,334,114,302,259,161,32,67.623
4.5,53,65,46,29,63,36,77,2,14,25,65,32,39,372,103,500,86,71,212,86.6
4.2,96,67,64,85,6,8,27,17,53,85,49,10,70,432,125,282,174,200,245,82.474
3.1,8,47,14,96,55,8,85,13,24,41,98,70,0,426,150,228,81,1,157,59.185
3.7,45,60,73,15,10,11,69,35,81,11,19,37,64,102,73,221,191,157,1,71.98
4.9,81,12,72,33,86,4,2,86,56,15,85,2,31,143,1,81,156,1,239,93.688
3.8,68,70,22,18,75,24,52,44,30,30,14,92,65,500,1,240,437,168,63,72.445
3.8,74,29,63,61,23,39,88,28,38,60,24,97,18,440,48,407,398,107,257,72.946
3.2,74,39,62,91,79,11,70,18,70,0,89,29,59,480,1,361,318,284,192,61.333
4.3,53,49,27,71,36,9,47,59,59,68,43,60,60,221,1,92,264,90,246,82.758
4.4,5,96,40,91,32,28,65,86,46,28,99,20,66,224,179,228,1,179,178,83.998
5,52,35,36,14,72,21,87,89,97,18,5,11,61,196,106,34,61,1,1,96.275
3,62,86,33,79,99,28,3,98,42,61,54,94,68,351,69,115,230,379,27,58.055
4.4,64,38,47,61,51,29,13,87,26,5,8,69,43,336,1,192,176,68,147,83.681
5.1,93,91,74,49,7,32,58,64,10,28,77,75,13,451,1,292,185,343,110,97.39
4.3,83,19,29,22,8,18,36,7,84,39,35,91,65,271,29,308,323,21,260,82.836
4.7,46,55,51,57,56,23,89,59,17,37,28,9,77,359,130,426,266,145,158,90.528
2.9,38,39,87,10,39,6,88,48,5,89,19,42,61,406,121,316,21,1,1,56.193
4,25,19,48,20,54,13,39,55,34,63,10,78,9,379,76,38,33,1,140,76.275
4.7,5,59,41,54,62,16,46,53,53,4,38,40,6,115,141,1,52,1,238,90.331
4.7,17,52,37,26,28,23,44,0,59,33,80,41,21,471,1,225,100,21,101,89.042
4.3,13,27,26,6,37,30,79,38,69,31,13,100,82,301,27,1,171,121,186,82.117
3.4,30,89,2,8,50,38,55,76,7,90,13,56,87,414,1,401,169,118,95,65.345
4.1,17,34,44,93,36,29,97,23,25,47,39,68,39,389,324,303,120,1,252,78.452
2.9,7,98,4,77,3,8,83,2,55,61,92,59,44,407,1,429,49,143,1,55.789
5,8,16,86,48,74,26,19,59,71,54,1,12,53,17,4,1,86,147,318,96.384
3.4,94,17,66,73,54,32,40,42,3,75,8,97,93,463,1,301,350,326,261,65.171
4.2,91,70,74,9,61,25,0,98,9,81,49,98,98,479,1,379,449,467,87,79.462
